Clock(s)	TappedContent	OrderOfKeyTapped
512.792	s	25
513.356	o	26
513.779	n	27
514.293	s	28
514.701	space	29
515.264	send	30
522.254	p	1
522.827	e	2
523.035	e	3
523.393	r	4
523.896	i	5
524.305	n	6
524.68	g	7
525.089	space	8
525.546	t	9
525.929	h	10
526.372	r	11
526.903	o	12
527.32	u	13
527.704	g	14
528.062	h	15
528.471	space	16
528.975	a	17
529.382	space	18
529.851	s	19
530.391	m	20
530.953	a	21
531.542	l	22
531.75	l	23
532.157	space	24
532.566	h	25
533.01	o	26
533.368	l	27
533.932	e	28
534.389	space	29
534.952	send	30
542.346	t	1
542.729	h	2
543.214	e	3
543.671	space	4
544.08	f	5
544.566	i	6
545.069	r	7
545.427	e	8
545.884	space	9
546.341	r	10
546.785	a	11
547.288	g	12
547.731	e	13
548.089	d	14
548.497	space	15
548.906	f	16
549.424	o	17
549.955	r	18
550.412	space	19
550.916	a	20
551.456	n	21
551.814	space	22
552.271	e	23
552.769	n	24
553.178	t	25
553.645	i	26
554.148	r	27
554.506	e	28
554.963	space	29
555.398	m	30
555.807	o	31
556.23	n	32
556.639	t	33
557.022	h	34
557.431	space	35
557.994	send	36
562.283	l	1
562.726	u	2
563.196	c	3
563.716	k	4
564.074	i	5
564.457	l	6
564.942	y	7
565.399	space	8
565.834	m	9
566.243	y	10
566.7	space	11
567.186	w	12
567.544	a	13
568.133	l	14
568.341	l	15
568.905	e	16
569.322	t	17
569.779	space	18
570.265	w	19
570.623	a	20
570.981	s	21
571.389	space	22
571.798	f	23
572.316	o	24
572.733	u	25
573.142	n	26
573.624	d	27
574.032	space	28
574.595	send	29
582.36	c	1
582.799	a	2
583.243	r	3
583.601	e	4
584.165	l	5
584.729	e	6
585.087	s	7
585.295	s	8
585.703	space	9
586.124	d	10
586.482	r	11
586.985	i	12
587.455	v	13
587.925	i	14
588.334	n	15
588.709	g	16
589.118	space	17
589.575	r	18
589.933	e	19
590.291	s	20
590.809	u	21
591.252	l	22
591.769	t	23
592.213	s	24
592.621	space	25
593.078	i	26
593.487	n	27
593.845	space	28
594.349	a	29
594.756	space	30
595.165	f	31
595.651	i	32
596.06	n	33
596.558	e	34
597.015	space	35
597.578	send	36
602.335	g	1
602.778	e	2
603.195	t	3
603.652	space	4
604.156	a	5
604.67	b	6
605.14	o	7
605.721	a	8
606.165	r	9
606.523	d	10
606.931	space	11
607.388	t	12
607.771	h	13
608.256	e	14
608.713	space	15
609.182	s	16
609.685	h	17
610.069	i	18
610.486	p	19
610.941	space	20
611.398	i	21
611.941	s	22
612.349	space	23
612.848	l	24
613.412	e	25
613.796	a	26
614.278	v	27
614.748	i	28
615.157	n	29
615.532	g	30
615.941	space	31
616.504	send	32
622.346	t	1
622.729	h	2
623.214	e	3
623.671	space	4
624.128	r	5
624.486	e	6
624.929	g	7
625.373	i	8
625.916	s	9
626.36	t	10
626.718	r	11
627.162	a	12
627.648	t	13
628.115	i	14
628.473	o	15
628.896	n	16
629.254	space	17
629.767	p	18
630.34	e	19
630.698	r	20
631.201	i	21
631.559	o	22
632.102	d	23
632.51	space	24
632.967	i	25
633.51	s	26
633.918	space	27
634.399	o	28
634.904	v	29
635.313	e	30
635.671	r	31
636.128	space	32
636.691	send	33
642.346	t	1
642.729	h	2
643.214	e	3
643.671	space	4
644.128	i	5
644.537	m	6
645.099	a	7
645.602	g	8
646.046	i	9
646.455	n	10
646.995	a	11
647.481	t	12
647.948	i	13
648.306	o	14
648.729	n	15
649.087	space	16
649.568	o	17
650.086	f	18
650.495	space	19
650.952	t	20
651.335	h	21
651.82	e	22
652.277	space	23
652.646	n	24
653.186	a	25
653.672	t	26
654.139	i	27
654.497	o	28
654.92	n	29
655.278	space	30
655.841	send	31
662.368	d	1
662.911	o	2
663.367	space	3
663.736	n	4
664.159	o	5
664.662	t	6
665.119	space	7
665.605	w	8
665.963	a	9
666.552	l	10
666.91	k	11
667.318	space	12
667.775	t	13
668.278	o	14
668.486	o	15
668.942	space	16
669.459	q	17
670.013	u	18
670.371	i	19
670.876	c	20
671.396	k	21
671.754	l	22
672.239	y	23
672.696	space	24
673.259	send	25
682.392	a	1
682.932	n	2
683.29	space	3
683.747	e	4
684.245	n	5
684.694	l	6
685.283	a	7
685.727	r	8
686.11	g	9
686.553	e	10
686.911	d	11
687.319	space	12
687.688	n	13
688.111	o	14
688.675	s	15
689.033	e	16
689.49	space	17
689.959	s	18
690.477	u	19
690.861	g	20
691.069	g	21
691.512	e	22
691.87	s	23
692.314	t	24
692.758	s	25
693.166	space	26
693.623	y	27
694.09	o	28
694.507	u	29
694.964	space	30
695.468	a	31
695.912	r	32
696.27	e	33
696.727	space	34
697.231	a	35
697.638	space	36
698.137	l	37
698.52	i	38
699.084	a	39
699.528	r	40
699.985	space	41
700.548	send	42
702.276	i	1
702.733	space	2
703.237	a	3
703.799	m	4
704.157	space	5
704.566	g	6
705.052	o	7
705.41	i	8
705.819	n	9
706.194	g	10
706.603	space	11
707.06	t	12
707.563	o	13
708.019	space	14
708.523	a	15
708.93	space	16
709.365	m	17
709.774	u	18
710.292	s	19
710.835	i	20
711.34	c	21
711.698	space	22
712.197	l	23
712.761	e	24
713.119	s	25
713.327	s	26
713.891	o	27
714.314	n	28
714.672	space	29
715.235	send	30
722.346	t	1
722.729	h	2
723.113	i	3
723.656	s	4
724.064	space	5
724.521	e	6
724.938	q	7
725.492	u	8
726.035	a	9
726.521	t	10
726.988	i	11
727.346	o	12
727.769	n	13
728.127	space	14
728.584	i	15
729.127	s	16
729.535	space	17
729.992	t	18
730.495	o	19
730.703	o	20
731.159	space	21
731.555	c	22
732.088	o	23
732.497	m	24
732.92	p	25
733.278	l	26
733.661	i	27
734.166	c	28
734.605	a	29
735.091	t	30
735.508	e	31
735.866	d	32
736.274	space	33
736.837	send	34
742.283	l	1
742.768	y	2
743.212	d	3
743.73	i	4
744.294	a	5
744.701	space	6
745.187	w	7
745.545	a	8
746.085	n	9
746.494	t	10
746.938	s	11
747.346	space	12
747.803	t	13
748.306	o	14
748.762	space	15
749.171	g	16
749.657	o	17
750.113	space	18
750.522	h	19
750.966	o	20
751.375	m	21
751.902	e	22
752.359	space	23
752.922	send	24
762.335	g	1
762.778	e	2
763.195	t	3
763.652	space	4
764.109	r	5
764.612	i	6
765.13	d	7
765.538	space	8
766.019	o	9
766.537	f	10
766.946	space	11
767.403	t	12
767.786	h	13
768.317	a	14
768.803	t	15
769.26	space	16
769.717	i	17
770.126	m	18
770.334	m	19
770.861	e	20
771.219	d	21
771.737	i	22
772.301	a	23
772.787	t	24
773.204	e	25
773.768	l	26
774.253	y	27
774.71	space	28
775.273	send	29
782.376	e	1
782.785	v	2
783.194	e	3
783.552	r	4
783.969	y	5
784.426	space	6
784.895	s	7
785.253	a	8
785.739	t	9
786.156	u	10
786.623	r	11
786.981	d	12
787.398	a	13
787.916	y	14
788.373	space	15
788.782	h	16
789.267	e	17
789.724	space	18
790.133	f	19
790.651	o	20
791.009	l	21
791.563	d	22
791.921	s	23
792.329	space	24
792.786	t	25
793.169	h	26
793.654	e	27
794.111	space	28
794.61	l	29
795.199	a	30
795.742	u	31
796.151	n	32
796.633	d	33
796.991	r	34
797.408	y	35
797.865	space	36
798.428	send	37
802.381	s	1
802.962	p	2
803.516	r	3
803.96	a	4
804.318	w	5
804.899	l	6
805.282	i	7
805.691	n	8
806.066	g	9
806.475	space	10
806.944	s	11
807.462	u	12
807.871	b	13
808.31	d	14
808.828	i	15
809.298	v	16
809.768	i	17
810.311	s	18
810.854	i	19
811.212	o	20
811.635	n	21
812.149	s	22
812.557	space	23
813.061	a	24
813.505	r	25
813.863	e	26
814.32	space	27
814.678	b	28
815.192	a	29
815.609	d	30
816.017	space	31
816.58	send	32
822.346	t	1
